,Incident,Location,Reported-edited,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,Hour,Week_Day,Month,Year,Weeks Since Start,Years since start,Months since start,week-composite,month-composite,Day of month,Date
129,Theft,969 E. 60th St. (SSA),40386.50694,7/26/10 to 7/27/10 5:00 PM to 8:00 AM,Unknown person cut U lock and took bicycle from bike rack,Open,W0860,12,3,7,2010,3,0,0,3-3,7-0,27,7/27/2010
130,Theft,947 E. 58th St. (Abbott Memorial Hall),40386.62639,7/27/10 11:00 AM to 12:30 PM,Unattended MacBook laptop computer taken from unlocked room,Open,W0861,15,3,7,2010,3,0,0,3-3,7-0,27,7/27/2010
131,Information,901 E. 58th St. (UCMC ER),40386.81111,40386.80556,Disagreement between two staff members,Closed,W0862,19,3,7,2010,3,0,0,3-3,7-0,27,7/27/2010
132,Theft,1100 E. 57th St. (Regenstein Library),40386.85764,7/27/10 12:20 PM to 6:50 PM,Unknown person took secured bicycle from bike rack,Open,W0863,20,3,7,2010,3,0,0,3-3,7-0,27,7/27/2010
133,Theft,1027 E. 57th St. (Anatomy),40386.98889,7/27/10 4:00 PM to 11:30 PM,Unknown person took bicycle secured to bike rack,Open,W0864,23,3,7,2010,3,0,0,3-3,7-0,27,7/27/2010
134,Criminal Damage to Property,53rd between Woodlawn & Kimbark,40387.325,7/28/10 12:30 AM to 6:00 AM,Unknown person shattered glass entrance door of restaurant with an unknown object,Open,W0865,7,4,7,2010,3,0,0,4-3,7-0,28,7/28/2010
135,Assault,Hyde Park Blvd. at 55th,40387.38681,40385.90972,Unknown man followed woman and chased her into the lobby of her apartment building / No physical contact / No words exchanged,Open,W0867,9,4,7,2010,3,0,0,4-3,7-0,28,7/28/2010
136,Theft,969 E. 60th St. (SSA),40387.40486,7/27/10 to 7/28/10 5:00 PM to 8:00 AM,Unknown person took secured bicycle from bike rack,Open,W0866,9,4,7,2010,3,0,0,4-3,7-0,28,7/28/2010
137,Theft,1020 E. 58th St. (Kent Lab),40387.51042,7/28/10 9:20 AM to 12:05 PM,Secured bicycle taken from bike rack,Open,W0868,12,4,7,2010,3,0,0,4-3,7-0,28,7/28/2010
138,Theft,5815 S. Maryland (Mitchell Hospital),40387.61319,40387.59375,Wallet taken from woman's purse / Possibly in hallway or elevator,Open,W0869,14,4,7,2010,3,0,0,4-3,7-0,28,7/28/2010
139,Open Door,5800 S. Stony Island (Doctor's Hospital),40387.88472,40387.88472,UCPD officer discovered an open door in the vacant building / Officers toured premises / No persons found,Closed,W0870,21,4,7,2010,3,0,0,4-3,7-0,28,7/28/2010
140,Theft,University between 55th & 56th,40387.93681,7/28/10 7:10 PM to 10:25 PM,Unknown person took a bicycle that was secured to a metal post in front of a residential building,Open,W0871,22,4,7,2010,3,0,0,4-3,7-0,28,7/28/2010
141,Fire Alarm,5807 S. Woodlawn (Booth School),40388.18958,40388.18958,Apparent alarm malfunction / No smoke or fire / CFD responded,Closed,W0872,4,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
142,Arson,Madison Park between Kenwood and Dorchester,40388.32361,7/28/10 to 7/29/10 6:00 PM to 7:00 AM,City garbage container and wooden fence damaged by fire,Open,W0873,7,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
144,Theft,1101 E. 58th St. (Rosenwald Hall),40388.36944,7/28/10 8:00 AM to 5:30 PM,Unknown person took bicycle that had been secured to bike rack,Open,W0875,8,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
145,Telephone Threat,860 E. 59th St. (Goldblatt Pavilion),40388.39583,40387.54167,Woman felt threatened after receiving an anonymous phone call,Open,W0876,9,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
146,Irregular Conditions,4444 S. Evans (Woodson Charter School),40388.45556,7/29/10 9:45 AM to 11:10 AM,Power outage reported / Restore at 11:10 AM,Closed,W0877,10,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
147,Assault,Drexel at 50th,40388.49514,40388.49514,Woman walking on the street felt threatened by the actions of a stranger / Suspect gone upon arrival of police,Open,W0878,11,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
148,Theft from Motor Vehicle,Cottage Grove at 59th,40388.55764,40388.45833,Unknown person smashed window of van parked on the street / Took GPS device and two Motorola portable radios,Open,W0879,13,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
149,Theft from Motor Vehicle,Ellis at 55th,40388.63819,7/29/10 8:45 AM to 3:00 PM,Unknown person smashed window of car parked on the street / Took GPS device,Open,W0880,15,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
150,Criminal Damage to Property,800 E. 55th St (Friend Center),40388.68889,40388.63889,Disgruntled man threw a door open causing a hole in the wall,Open,W0882,16,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
151,Theft,929 E. 57th St. (Gordon Center),40388.68958,7/29/10 9:20 AM to 4:15 PM,Unknown person took bicycle that had been secured to bike rack,Open,W0881,16,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
152,Theft,Kimbark between 57th & 58th,40388.73333,7/28/10 to 7/29/10 8:00 AM to 5:00 PM,Unknown person took bicycle that had been secured to a lamp post in the courtyard of residential building,Open,W0883,17,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
153,Lost Property,5758 S. Maryland (DCAM),40388.74583,7/29/10 1:30 PM to 4:00 PM,Woman lost her wallet while in the cafeteria,Closed,W0884,17,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
154,Theft from Motor Vehicle,Shore Dr. at 56th,40388.80139,40388.78472,Unknown female was seen entering an unlocked car parked on the street taking $5.00 in quarters,Open,W0885,19,5,7,2010,4,0,0,5-4,7-0,29,7/29/2010
155,Well-Being Check,Kenwood between 56th & 57th,40389.15972,40389.13542,UCPD checked well-being of an individual at the request of a friend / All was well,Closed,W0886,3,6,7,2010,4,0,0,6-4,7-0,30,7/30/2010
156,Theft,55th between Cornell and Hyde Park,40389.50903,40389.50694,Unknown male customer grabbed money from cash register as salesperson was making change / Suspect fled on foot,Open,W0887,12,6,7,2010,4,0,0,6-4,7-0,30,7/30/2010
158,Theft,1115 E. 58th St. (Walker),40389.62847,7/30/10 2:00 PM to 3:00 PM,Two bicycles chained together were taken from bike rack,Open,W0890,15,6,7,2010,4,0,0,6-4,7-0,30,7/30/2010
159,Theft,5812 S. Ellis (Brain Research),40389.67014,7/30/10 9:00 AM to 3:45 PM,Unknown person took secured bicycle from bike rack,Open,W0889,16,6,7,2010,4,0,0,6-4,7-0,30,7/30/2010
160,Theft,1126 E. 59th St. (Social Science),40389.86528,7/30/10 3:30 PM to 5:30 PM,Unknown person used a tool to cut bar on bike rack and took a secured bicycle,Open,W0891,20,6,7,2010,4,0,0,6-4,7-0,30,7/30/2010
161,Burglary,57th between Harper & Lake Park,40390.09097,7/30/10 to 7/31/10 10:30 PM to 2:00 AM,"Unknown person(s) gained entry to residential apartment by undetermined method taking an Acer laptop computer, jewelry box and jewelry",Open,W0892,2,7,7,2010,4,0,0,7-4,7-0,31,7/31/2010
162,Burglary,52nd between Greenwood & University,40390.09722,7/30/10 to 7/31/10 8:30 PM to 1:45 AM,"Entry gained to residential apartment via front window / 3 computers, $175 in coins, medical equipment taken by unknown person(s)",Open,W0893,2,7,7,2010,4,0,0,7-4,7-0,31,7/31/2010
163,Criminal Damage to Property,5730 S. Ellis (Crerar Library),40390.64722,7/30/10 to 7/31/10 6:00 PM to 3:30 PM,Unknown person scrawled graffiti on exterior wall / Facilities notified,Open,W0894,15,7,7,2010,4,0,0,7-4,7-0,31,7/31/2010
164,Criminal Damage to Property,5630 S. University (Max Palevsky East),40390.72222,7/30/10 to 7/31/10 11:00 PM to 8:00 AM,Unknown person scrawled graffiti on exterior wall / Facilities notified,Open,W0895,17,7,7,2010,4,0,0,7-4,7-0,31,7/31/2010
165,Theft from Motor Vehicle,Drexel between 52nd & 53rd,40391.39028,7/31/10 to 8/1/10 9:00 PM to 9: 15 AM,Unknown person smashed window of car parked on the street / Took GPS device,Open,W0896,9,1,8,2010,4,0,1,1-4,8-1,1,8/1/2010
166,Fire Alarm,5530 S. Ellis (Ratner AC),40391.44583,40391.44583,Alarm malfunction / CFD responded,Closed,W0897,10,1,8,2010,4,0,1,1-4,8-1,1,8/1/2010
167,Fire Alarm,5807 S. Woodlawn (Booth School),40391.95833,40391.95833,Alarm malfunction / CFD responded,Closed,W0898,23,1,8,2010,4,0,1,1-4,8-1,1,8/1/2010
168,Burglary,1427 E. 60th St. (Press Office),40392.39167,7/29/10 to 8/2/10 6:00 PM to 8:45 AM,Unknown person broke office window / Dell laptop computer and docking station taken from desk top,Open,W0899,9,2,8,2010,4,0,1,2-4,8-1,2,8/2/2010
169,Theft,Ellis between 60th & 61st,40392.50208,8/1/10 Unknown,CPD arrested a man wanted on a warrant and found him in possession of a stolen bicycle / Bike turned over to UCPD being held for owner,Closed,W0900,12,2,8,2010,4,0,1,2-4,8-1,2,8/2/2010
170,Theft from Motor Vehicle,61st between Cottage Grove & Drexel,40392.56042,8/2/10 7:45 AM to 1:15 PM,Unknown person smashed window of vehicle parked in vacant lot and took a GPS device,Open,W0901,13,2,8,2010,4,0,1,2-4,8-1,2,8/2/2010
171,Theft from Motor Vehicle,Blackstone at 51st,40392.57986,8/1/10 to 8/2/10 4:00 PM to 12:30 PM,Unknown person smashed window of car in parking lot and took a GPS device,Open,W0903,13,2,8,2010,4,0,1,2-4,8-1,2,8/2/2010
172,Found Property,Harper between 58th & 59th,40392.58056,40392.58056,Bag containing electronic equipment found on the street and turned over to UCPD / Property being held by CPD,Closed,W0902,13,2,8,2010,4,0,1,2-4,8-1,2,8/2/2010
173,Theft of Lost or Mislaid Property,1100 E. 57th St. (Regenstein Library),40392.74028,40392.72917,UCPD officers observed two males attempting to take bicycle from bike rack / Had stolen property in their possession / Arrest by UCPD,Arrest,W0904,17,2,8,2010,4,0,1,2-4,8-1,2,8/2/2010
174,Domestic Battery,Cottage Grove between 63rd & 64th,40392.79375,40392.77778,Male subject punched female in the course of an argument on the street / Arrest by UCPD,Arrest,W0905,19,2,8,2010,4,0,1,2-4,8-1,2,8/2/2010
175,Theft,5815 S. Maryland (Mitchell Hospital),40393.45694,7/29/10 to 8/2/10 2:00 PM to 1:00 PM,"2 rings, necklace, and $10 cash taken from purse in patient's room",Open,W0906,10,3,8,2010,4,0,1,3-4,8-1,3,8/3/2010
176,Harassment by Electronic Means,50th between Cornell & Shore Dr.,40393.66736,40393.03125,Complainant reported a series of harassing email messages and phone calls from a former girlfriend,Open,W0907,16,3,8,2010,4,0,1,3-4,8-1,3,8/3/2010
177,Theft,1427 E. 60th St. (Press Building),40393.71111,8/3/10 1:30 PM to 5:00 PM,Unknown person took secured bicycle from bike rack,Open,W0908,17,3,8,2010,4,0,1,3-4,8-1,3,8/3/2010
178,Suspicious Package,1526 E. 55th St. (Hyde Park Shopping Ctr.),40393.95764,40393.95764,Suspicious suitcase found outside door of a store / CPD Bomb and Arson notified / Suitcase contained garbage,Closed,W0909,22,3,8,2010,4,0,1,3-4,8-1,3,8/3/2010
180,Theft,5841 S. Maryland (UCMC),40394.60833,8/4/10 2:00 PM to 2:05 PM,"Unknown person took an unattended fanny pack from patient's room / contained a wallet, cell phone, check book / Unauthorized use of a credit card subsequently reported",Open,W0911,14,4,8,2010,4,0,1,4-4,8-1,4,8/4/2010
181,Criminal Damage to Property,5825 S. Dorchester (Stein Place),40394.77708,8/4/10 5:00 PM to 5:50 PM,Unknown person damaged bottom panel of overhead garage door,Open,W0913,18,4,8,2010,4,0,1,4-4,8-1,4,8/4/2010
182,Lost Property,5800 S. Stony Island (Doctors Hospital),40394.78125,40377.52778,Radiation sensor lost while working at the site,Closed,W0912,18,4,8,2010,4,0,1,4-4,8-1,4,8/4/2010
183,Criminal Damage to Property,6016 S. Ingleside (Midway Studios),40395.52014,8/4/10 to 8/5/10 5:00 PM to 8:30 AM,Unknown person pushed on window grate causing damage to a file cabinet that tipped over,Open,W0914,12,5,8,2010,5,0,1,5-5,8-1,5,8/5/2010
184,Miscellaneous,5659 S. Ellis (Construction Site),40396.23264,40393.41667,Two construction workers involved in heated argument / Worker escorted from site by UCPD / Peace restored,Closed,W0916,5,6,8,2010,5,0,1,6-5,8-1,6,8/6/2010
185,Theft from Motor Vehicle,Kimbark between 53rd & 54th,40396.35556,8/5/10 to 8/6/10 10:00 PM to 8:30 AM,Unknown person smashed window of car parked on the street / Took GPS device and sunglasses,Open,W0915,8,6,8,2010,5,0,1,6-5,8-1,6,8/6/2010
186,Theft,5815 S. Maryland (Mitchell Hospital),40396.49722,7/31/10 3:00 AM to 2:00 PM,Unknown person took HP laptop computer from patient's room,Open,W0917,11,6,8,2010,5,0,1,6-5,8-1,6,8/6/2010
187,Injured Person,929 E. 57th St. (Gordon Center),40396.55139,40396.54861,Chemical splashed in man's eyes during the course of an experiment / Transported to hospital by CFD EMS,Closed,W0918,13,6,8,2010,5,0,1,6-5,8-1,6,8/6/2010
188,Theft,935 E. 56th St. (High Energy Physics Bldg.),40396.59653,8/6/10 2:00 PM to 2:19 PM,Unknown person took unattended Mac laptop computer from unlocked office,Open,W0919,14,6,8,2010,5,0,1,6-5,8-1,6,8/6/2010
189,Theft,940 E. 57th St. (Bio-Psych. Bldg.),40396.68542,40392.66667,Unknown person took wireless device from office,Open,W0920,16,6,8,2010,5,0,1,6-5,8-1,6,8/6/2010
190,Irregular Conditions,5706 S. University (Reynolds Club),40396.95347,40396.95347,Officer found unlocked door during a premise check / Engineer notified,Closed,W0921,22,6,8,2010,5,0,1,6-5,8-1,6,8/6/2010
191,Criminal Damage to Vehicle,48th between Woodlawn & Kimbark,40397.33403,8/6/10 to 8/7/10 7:30 PM to 6:30 AM,Unknown person slashed three tires on a car parked on the street,Open,W0922,8,7,8,2010,5,0,1,7-5,8-1,7,8/7/2010
192,Theft from Motor Vehicle,University at 59th,40397.53125,8/5/10 to 8/7/10 11:00 PM to 12:40 PM,Unknown person smashed window of car parked on the street and took a GPS device,Open,W0923,12,7,8,2010,5,0,1,7-5,8-1,7,8/7/2010
193,Theft from Motor Vehicle,60th between Greenwood & University,40397.59167,8/7/10 1:40 PM to 2:00 PM,Unknown person removed lock from the rear door of a workman's van parked on the street and took construction tools,Open,W0924,14,7,8,2010,5,0,1,7-5,8-1,7,8/7/2010
194,Disturbance,56th between Woodlawn & Kimbark,40398.07014,40398.07014,Residents complained about a loud party in a residence / Peace restored,Closed,W0925,1,1,8,2010,5,0,1,1-5,8-1,8,8/8/2010
195,Disturbance,Kimbark between 57th & 58th,40398.21458,40398.21458,Residents complained of loud noise coming from a group of people in a limo parked on the street / Peace restored,Closed,W0926,5,1,8,2010,5,0,1,1-5,8-1,8,8/8/2010
196,Theft from Motor Vehicle,Dorchester at 57th,40398.87361,8/8/10 7:15 PM to 8:45 PM,Unknown person smashed window of car parked on the street and took GPS device,Open,W0927,20,1,8,2010,5,0,1,1-5,8-1,8,8/8/2010
197,Theft,5530 S. Ellis (Ratner AC),40399.42569,8/6/10 6:00 PM to 6:30 PM,Man left student ID card unattended while exercising / Unknown person took ID card,Open,W0928,10,2,8,2010,5,0,1,2-5,8-1,9,8/9/2010
198,Deceptive Practice,52nd between Kimbark & Kenwood,40399.47569,40397.27083,Unknown person attempted to scam money from complainant via email,Open,W0929,11,2,8,2010,5,0,1,2-5,8-1,9,8/9/2010
199,Disturbance,860 E. 59th St. (Goldblatt Pavilion),40399.51528,40399.3125,Verbal altercation between two staff members / Peace restored,Closed,W0930,12,2,8,2010,5,0,1,2-5,8-1,9,8/9/2010
200,Damage to Property,6054 S. Drexel (UCPD),40399.77083,40399.29167,Damage found on University owned vehicle parked in parking structure,Closed,W0934,18,2,8,2010,5,0,1,2-5,8-1,9,8/9/2010
201,Attempt Theft,6058 S. Ellis (Edelstone Parking Lot),40399.81806,40399.81806,UCPD officer arrested male subject in the process of cutting copper wire attached to gate box,Arrest,W0931,19,2,8,2010,5,0,1,2-5,8-1,9,8/9/2010
202,Theft,Cottage Grove at 58th,40399.86458,8/9/10 6:00 AM to 8:30 PM,Unknown person smashed rear passenger's side window of car parked on the street and took a GPS device,Open,W0932,20,2,8,2010,5,0,1,2-5,8-1,9,8/9/2010
203,Irregular Conditions,6054 S. Drexel (UCPD),40399.98194,40399.98194,Handicap door in lobby of building could not be properly secured / Facilities notified,Closed,W0933,23,2,8,2010,5,0,1,2-5,8-1,9,8/9/2010
204,Warrant Arrest,Stony Island at 63rd,40400.1875,40400.1875,UCPD officers arrested a male subject wanted on a warrant,Arrest,W0935,4,3,8,2010,5,0,1,3-5,8-1,10,8/10/2010
205,Aggravated Battery,Cottage Grove at 62nd,40400.38542,40400.38542,Male subject shot in the left leg after an argument with another male subject on the street / Transported to hospital by CFD EMS,Open,W0936,9,3,8,2010,5,0,1,3-5,8-1,10,8/10/2010
206,Criminal Damage to Vehicle,Woodlawn between 49th & 50th,40400.45347,8/7/10 to 8/8/10 10:00 PM to 5:00 AM,Unknown person slashed four tires on a car parked on the street,Open,W0937,10,3,8,2010,5,0,1,3-5,8-1,10,8/10/2010
207,Missing Person,970 E. 58th St. (Bookstore),40400.46736,40400.41667,"Family reported man, suffering from illness, wandered off and could not be located / Man later found and escorted home by UCPD",Closed,W0938,11,3,8,2010,5,0,1,3-5,8-1,10,8/10/2010
208,Theft,5841 S. Cottage Grove (General Stores),40400.49028,8/10/10 7:00 AM to 7:45 AM,Unknown person took DVD disk from office,Open,W0940,11,3,8,2010,5,0,1,3-5,8-1,10,8/10/2010
209,Theft from Motor Vehicle,Kenwood between 57th & 58th,40400.51806,8/9/10 to 8/10/10 8:00 PM to 11:45 AM,Unknown person smashed the driver's side window of a car parked on the street and took a GPS device,Open,W0939,12,3,8,2010,5,0,1,3-5,8-1,10,8/10/2010
210,Found Property,Langley between 61st & 62nd,40400.67986,40400.64236,UCPD officers chased an unknown suspect who abandoned a Canon digital camera and an Olympus voice recorder while fleeing,Closed,W0941,16,3,8,2010,5,0,1,3-5,8-1,10,8/10/2010
211,Theft from Motor Vehicle,Woodlawn between 58th & 59th,40400.71389,8/10/10 7:25 AM to 4:30 PM,Unknown person smashed passenger's side window of car parked on the street and took a gym bag,Open,W0942,17,3,8,2010,5,0,1,3-5,8-1,10,8/10/2010
212,Possession of Lost or Stolen Property,Harper between 54th & 55th,40400.98472,40400.98264,UCPD officer arrested man for possession of a stolen bicycle / Owner of bike not known at the time,Arrest,W0943,23,3,8,2010,5,0,1,3-5,8-1,10,8/10/2010
213,Injured Person,5841 S. Cottage Grove (Materials Mgt.),40401.22847,40401.20833,Deliveryman fell from loading dock and fractured his left ankle / Transported to ER by CFD EMS,Closed,W0944,5,4,8,2010,5,0,1,4-5,8-1,11,8/11/2010
214,Theft from Motor Vehicle,59th & Payne Dr.,40401.50833,8/10/10 8:00 AM to 5:30 PM,Unknown person smashed window of vehicle parked on the street and took a GPS device,Open,W0945,12,4,8,2010,5,0,1,4-5,8-1,11,8/11/2010
215,Injured Person,5815 S. Maryland (Mitchell Hosp.),40401.55417,40401.54861,Woman injured her finger when it became caught in the metal support of a chair / Treated at ER,Closed,W0946,13,4,8,2010,5,0,1,4-5,8-1,11,8/11/2010
216,Theft,1101 E. 58th St. (Rosenwald),40401.59028,7/30/10 to 8/3/10 5:00 PM to 10:00 AM,Unknown person removed a MacBook Pro computer from under a podium in an unsecured lecture hall,Open,W0947,14,4,8,2010,5,0,1,4-5,8-1,11,8/11/2010
218,Injured Person,5815 S. Maryland (Mitchell ER),40401.59375,8/6/10 Unknown,Woman said she tripped over a chair in the ER and fell on her back / Delayed report,Closed,W0949,14,4,8,2010,5,0,1,4-5,8-1,11,8/11/2010
217,Battery,57th between Greenwood & University,40401.6,40401.59375,A male and two females involved in an argument that resulted in physical contact by all involved / All three refused to sign complaints / Peace restored,Closed,W0948,14,4,8,2010,5,0,1,4-5,8-1,11,8/11/2010
