,Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
110,No traffic stops for 09/18/2015,No traffic stops for 09/18/2015,No traffic stops for 09/18/2015,No traffic stops for 09/18/2015,No traffic stops for 09/18/2015,No traffic stops for 09/18/2015,No traffic stops for 09/18/2015,No traffic stops for 09/18/2015,No traffic stops for 09/18/2015
111,No traffic stops for 09/19/2015,No traffic stops for 09/19/2015,No traffic stops for 09/19/2015,No traffic stops for 09/19/2015,No traffic stops for 09/19/2015,No traffic stops for 09/19/2015,No traffic stops for 09/19/2015,No traffic stops for 09/19/2015,No traffic stops for 09/19/2015
112,No traffic stops for 09/20/2015,No traffic stops for 09/20/2015,No traffic stops for 09/20/2015,No traffic stops for 09/20/2015,No traffic stops for 09/20/2015,No traffic stops for 09/20/2015,No traffic stops for 09/20/2015,No traffic stops for 09/20/2015,No traffic stops for 09/20/2015
113,9/21/2015 2:09 PM,5500 S Ellis,Hispanic,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
114,9/22/2015 10:13 AM,5945 S Ellis,African American,Male,Speed,Speeding,,Verbal Warning,No
115,9/22/2015 3:21 PM,1000 E Midway Plaisance,African American,Female,Speed,Speeding,,Verbal Warning,No
116,9/22/2015 3:37 PM,800 E Midway Plaisance,African American,Male,Speed,Speeding,,Verbal Warning,No
117,9/23/2015 10:04 AM,5900 Payne Dr,African American,Female,Speed,Speeding,,Verbal Warning,No
118,9/24/2015 9:00 AM,5900 Payne Dr,African American,Male,Speed,Speeding,,Verbal Warning,No
119,No traffic stops for 09/25/2015,No traffic stops for 09/25/2015,No traffic stops for 09/25/2015,No traffic stops for 09/25/2015,No traffic stops for 09/25/2015,No traffic stops for 09/25/2015,No traffic stops for 09/25/2015,No traffic stops for 09/25/2015,No traffic stops for 09/25/2015
120,No traffic stops for 09/26/2015,No traffic stops for 09/26/2015,No traffic stops for 09/26/2015,No traffic stops for 09/26/2015,No traffic stops for 09/26/2015,No traffic stops for 09/26/2015,No traffic stops for 09/26/2015,No traffic stops for 09/26/2015,No traffic stops for 09/26/2015
121,No traffic stops for 09/27/2015,No traffic stops for 09/27/2015,No traffic stops for 09/27/2015,No traffic stops for 09/27/2015,No traffic stops for 09/27/2015,No traffic stops for 09/27/2015,No traffic stops for 09/27/2015,No traffic stops for 09/27/2015,No traffic stops for 09/27/2015
122,9/28/2015 8:43 AM,Midway and Cottage Grove,African American,Female,Speed,Speeding,,Verbal Warning,No
123,9/28/2015 9:05 AM,5900 Payne Dr,Caucasian,Male,Speed,Speeding,,Verbal Warning,No
124,9/29/2015 8:53 AM,5400 S Cottage Grove,Caucasian,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
125,No traffic stops for 09/30/2015,No traffic stops for 09/30/2015,No traffic stops for 09/30/2015,No traffic stops for 09/30/2015,No traffic stops for 09/30/2015,No traffic stops for 09/30/2015,No traffic stops for 09/30/2015,No traffic stops for 09/30/2015,No traffic stops for 09/30/2015
126,10/1/2015 9:42 PM,5700 Hyde Park,Asian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
127,10/2/2015 5:13 PM,930 E 55th,Caucasian,Male,Lane Violation,Improper passing/overtaking,1 citation issued,Citation Issued,No
128,No traffic stops for 10/03/2015,No traffic stops for 10/03/2015,No traffic stops for 10/03/2015,No traffic stops for 10/03/2015,No traffic stops for 10/03/2015,No traffic stops for 10/03/2015,No traffic stops for 10/03/2015,No traffic stops for 10/03/2015,No traffic stops for 10/03/2015
129,No traffic stops for 10/04/2015,No traffic stops for 10/04/2015,No traffic stops for 10/04/2015,No traffic stops for 10/04/2015,No traffic stops for 10/04/2015,No traffic stops for 10/04/2015,No traffic stops for 10/04/2015,No traffic stops for 10/04/2015,No traffic stops for 10/04/2015
130,No traffic stops for 10/05/2015,No traffic stops for 10/05/2015,No traffic stops for 10/05/2015,No traffic stops for 10/05/2015,No traffic stops for 10/05/2015,No traffic stops for 10/05/2015,No traffic stops for 10/05/2015,No traffic stops for 10/05/2015,No traffic stops for 10/05/2015
131,10/6/2015 4:41 PM,5900 S Ellis,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
132,10/6/2015 11:16 PM,5500 Blackstone,Hispanic,Male,Traffic Sign/Signal,Ran two stop signs,,Verbal Warning,No
133,No traffic stops for 10/07/2015,No traffic stops for 10/07/2015,No traffic stops for 10/07/2015,No traffic stops for 10/07/2015,No traffic stops for 10/07/2015,No traffic stops for 10/07/2015,No traffic stops for 10/07/2015,No traffic stops for 10/07/2015,No traffic stops for 10/07/2015
134,No traffic stops for 10/08/2015,No traffic stops for 10/08/2015,No traffic stops for 10/08/2015,No traffic stops for 10/08/2015,No traffic stops for 10/08/2015,No traffic stops for 10/08/2015,No traffic stops for 10/08/2015,No traffic stops for 10/08/2015,No traffic stops for 10/08/2015
135,No traffic stops for 10/09/2015,No traffic stops for 10/09/2015,No traffic stops for 10/09/2015,No traffic stops for 10/09/2015,No traffic stops for 10/09/2015,No traffic stops for 10/09/2015,No traffic stops for 10/09/2015,No traffic stops for 10/09/2015,No traffic stops for 10/09/2015
136,No traffic stops for 10/10/2015,No traffic stops for 10/10/2015,No traffic stops for 10/10/2015,No traffic stops for 10/10/2015,No traffic stops for 10/10/2015,No traffic stops for 10/10/2015,No traffic stops for 10/10/2015,No traffic stops for 10/10/2015,No traffic stops for 10/10/2015
137,No traffic stops for 10/11/2015,No traffic stops for 10/11/2015,No traffic stops for 10/11/2015,No traffic stops for 10/11/2015,No traffic stops for 10/11/2015,No traffic stops for 10/11/2015,No traffic stops for 10/11/2015,No traffic stops for 10/11/2015,No traffic stops for 10/11/2015
138,No traffic stops for 10/12/2015,No traffic stops for 10/12/2015,No traffic stops for 10/12/2015,No traffic stops for 10/12/2015,No traffic stops for 10/12/2015,No traffic stops for 10/12/2015,No traffic stops for 10/12/2015,No traffic stops for 10/12/2015,No traffic stops for 10/12/2015
139,No traffic stops for 10/13/2015,No traffic stops for 10/13/2015,No traffic stops for 10/13/2015,No traffic stops for 10/13/2015,No traffic stops for 10/13/2015,No traffic stops for 10/13/2015,No traffic stops for 10/13/2015,No traffic stops for 10/13/2015,No traffic stops for 10/13/2015
140,10/14/2015 1:25 PM,5734 S Ellis,Caucasian,Female,Lane Violation,Improper passing/overtaking,2 citations issued for failure to yield to pedestrians and improper overtaking,Citation Issued,No
141,10/14/2015 8:57 PM,1200 E 55th,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
142,10/15/2015 10:30 PM,4100 S Drexel,Asian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
143,10/16/2015 9:21 AM,1314 E 53rd,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
144,No traffic stops for 10/17/2015,No traffic stops for 10/17/2015,No traffic stops for 10/17/2015,No traffic stops for 10/17/2015,No traffic stops for 10/17/2015,No traffic stops for 10/17/2015,No traffic stops for 10/17/2015,No traffic stops for 10/17/2015,No traffic stops for 10/17/2015
145,No traffic stops for 10/18/2015,No traffic stops for 10/18/2015,No traffic stops for 10/18/2015,No traffic stops for 10/18/2015,No traffic stops for 10/18/2015,No traffic stops for 10/18/2015,No traffic stops for 10/18/2015,No traffic stops for 10/18/2015,No traffic stops for 10/18/2015
146,10/19/2015 10:57 PM,5800 Blackstone,Caucasian,Female,Lane Violation,Wrong way on one way road,,Verbal Warning,No
147,10/20/2015 9:39 AM,1000 Midway Plaisance,African American,Male,Speed,Speeding,Citation issued for expired registration,Citation Issued,No
148,10/20/2015 10:03 AM,5859 S University,African American,Male,Speed,Speeding,,Verbal Warning,No
149,No traffic stops for 10/21/2015,No traffic stops for 10/21/2015,No traffic stops for 10/21/2015,No traffic stops for 10/21/2015,No traffic stops for 10/21/2015,No traffic stops for 10/21/2015,No traffic stops for 10/21/2015,No traffic stops for 10/21/2015,No traffic stops for 10/21/2015
150,No traffic stops for 10/22/2015,No traffic stops for 10/22/2015,No traffic stops for 10/22/2015,No traffic stops for 10/22/2015,No traffic stops for 10/22/2015,No traffic stops for 10/22/2015,No traffic stops for 10/22/2015,No traffic stops for 10/22/2015,No traffic stops for 10/22/2015
151,10/23/2015 8:48 AM,5830 S Woodlawn Ave,African American,Female,Speed,Speeding,,Verbal Warning,No
152,10/23/2015 9:10 AM,930 E Midway Plaisance,African American,Male,Speed,Speeding,Citation issued for speeding,Citation Issued,No
153,10/23/2015 9:40 AM,930 E Midway Plaisance,African American,Male,Speed,Speeding,Citation issued for speeding,Citation Issued,No
154,No traffic stops for 10/24/2015,No traffic stops for 10/24/2015,No traffic stops for 10/24/2015,No traffic stops for 10/24/2015,No traffic stops for 10/24/2015,No traffic stops for 10/24/2015,No traffic stops for 10/24/2015,No traffic stops for 10/24/2015,No traffic stops for 10/24/2015
155,No traffic stops for 10/25/2015,No traffic stops for 10/25/2015,No traffic stops for 10/25/2015,No traffic stops for 10/25/2015,No traffic stops for 10/25/2015,No traffic stops for 10/25/2015,No traffic stops for 10/25/2015,No traffic stops for 10/25/2015,No traffic stops for 10/25/2015
156,No traffic stops for 10/26/2015,No traffic stops for 10/26/2015,No traffic stops for 10/26/2015,No traffic stops for 10/26/2015,No traffic stops for 10/26/2015,No traffic stops for 10/26/2015,No traffic stops for 10/26/2015,No traffic stops for 10/26/2015,No traffic stops for 10/26/2015
157,No traffic stops for 10/27/2015,No traffic stops for 10/27/2015,No traffic stops for 10/27/2015,No traffic stops for 10/27/2015,No traffic stops for 10/27/2015,No traffic stops for 10/27/2015,No traffic stops for 10/27/2015,No traffic stops for 10/27/2015,No traffic stops for 10/27/2015
158,No traffic stops for 10/28/2015,No traffic stops for 10/28/2015,No traffic stops for 10/28/2015,No traffic stops for 10/28/2015,No traffic stops for 10/28/2015,No traffic stops for 10/28/2015,No traffic stops for 10/28/2015,No traffic stops for 10/28/2015,No traffic stops for 10/28/2015
159,10/29/2015 4:09 PM,6000 S. Woodlawn,Caucasian,Female,Other,Distracted Driving - Cell Phone,,Verbal Warning,No
160,No traffic stops for 10/30/2015,No traffic stops for 10/30/2015,No traffic stops for 10/30/2015,No traffic stops for 10/30/2015,No traffic stops for 10/30/2015,No traffic stops for 10/30/2015,No traffic stops for 10/30/2015,No traffic stops for 10/30/2015,No traffic stops for 10/30/2015
161,No traffic stops for 10/31/2015,No traffic stops for 10/31/2015,No traffic stops for 10/31/2015,No traffic stops for 10/31/2015,No traffic stops for 10/31/2015,No traffic stops for 10/31/2015,No traffic stops for 10/31/2015,No traffic stops for 10/31/2015,No traffic stops for 10/31/2015
162,No traffic stops for 11/01/2015,No traffic stops for 11/01/2015,No traffic stops for 11/01/2015,No traffic stops for 11/01/2015,No traffic stops for 11/01/2015,No traffic stops for 11/01/2015,No traffic stops for 11/01/2015,No traffic stops for 11/01/2015,No traffic stops for 11/01/2015
163,11/2/2015 8:14 PM,5100 S BLACKSTONE,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
164,No traffic stops for 11/03/2015,No traffic stops for 11/03/2015,No traffic stops for 11/03/2015,No traffic stops for 11/03/2015,No traffic stops for 11/03/2015,No traffic stops for 11/03/2015,No traffic stops for 11/03/2015,No traffic stops for 11/03/2015,No traffic stops for 11/03/2015
165,11/4/2015 4:13 PM,1100 E 57th,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
166,No traffic stops for 11/05/2015,No traffic stops for 11/05/2015,No traffic stops for 11/05/2015,No traffic stops for 11/05/2015,No traffic stops for 11/05/2015,No traffic stops for 11/05/2015,No traffic stops for 11/05/2015,No traffic stops for 11/05/2015,No traffic stops for 11/05/2015
167,No traffic stops for 11/06/2015,No traffic stops for 11/06/2015,No traffic stops for 11/06/2015,No traffic stops for 11/06/2015,No traffic stops for 11/06/2015,No traffic stops for 11/06/2015,No traffic stops for 11/06/2015,No traffic stops for 11/06/2015,No traffic stops for 11/06/2015
168,11/7/2015 8:48 PM,5300 S Greenwood,African American,Male,Other,Improper backing,,Verbal Warning,No
169,11/8/2015 9:01 AM,5600 S Dorchester,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No
170,No traffic stops for 11/09/2015,No traffic stops for 11/09/2015,No traffic stops for 11/09/2015,No traffic stops for 11/09/2015,No traffic stops for 11/09/2015,No traffic stops for 11/09/2015,No traffic stops for 11/09/2015,No traffic stops for 11/09/2015,No traffic stops for 11/09/2015
171,11/10/2015 12:43 PM,5700 S Harper,Caucasian,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
172,No traffic stops for 11/11/2015,No traffic stops for 11/11/2015,No traffic stops for 11/11/2015,No traffic stops for 11/11/2015,No traffic stops for 11/11/2015,No traffic stops for 11/11/2015,No traffic stops for 11/11/2015,No traffic stops for 11/11/2015,No traffic stops for 11/11/2015
173,No traffic stops for 11/12/2015,No traffic stops for 11/12/2015,No traffic stops for 11/12/2015,No traffic stops for 11/12/2015,No traffic stops for 11/12/2015,No traffic stops for 11/12/2015,No traffic stops for 11/12/2015,No traffic stops for 11/12/2015,No traffic stops for 11/12/2015
174,11/13/2015 12:23 PM,Midway Plaisance & Cottage Grove,African American,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
175,No traffic stops for 11/14/2015,No traffic stops for 11/14/2015,No traffic stops for 11/14/2015,No traffic stops for 11/14/2015,No traffic stops for 11/14/2015,No traffic stops for 11/14/2015,No traffic stops for 11/14/2015,No traffic stops for 11/14/2015,No traffic stops for 11/14/2015
176,11/15/2015 3:45 PM,5300 S Ingleside,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
177,No traffic stops for 11/16/2015,No traffic stops for 11/16/2015,No traffic stops for 11/16/2015,No traffic stops for 11/16/2015,No traffic stops for 11/16/2015,No traffic stops for 11/16/2015,No traffic stops for 11/16/2015,No traffic stops for 11/16/2015,No traffic stops for 11/16/2015
178,No traffic stops for 11/17/2015,No traffic stops for 11/17/2015,No traffic stops for 11/17/2015,No traffic stops for 11/17/2015,No traffic stops for 11/17/2015,No traffic stops for 11/17/2015,No traffic stops for 11/17/2015,No traffic stops for 11/17/2015,No traffic stops for 11/17/2015
179,No traffic stops for 11/18/2015,No traffic stops for 11/18/2015,No traffic stops for 11/18/2015,No traffic stops for 11/18/2015,No traffic stops for 11/18/2015,No traffic stops for 11/18/2015,No traffic stops for 11/18/2015,No traffic stops for 11/18/2015,No traffic stops for 11/18/2015
180,11/19/2015 2:27 PM,6100 Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
181,No traffic stops for 11/20/2015,No traffic stops for 11/20/2015,No traffic stops for 11/20/2015,No traffic stops for 11/20/2015,No traffic stops for 11/20/2015,No traffic stops for 11/20/2015,No traffic stops for 11/20/2015,No traffic stops for 11/20/2015,No traffic stops for 11/20/2015
182,11/21/2015 9:03 PM,5800 Cottage Grove,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
183,11/23/2015 1:05 AM,5615 Woodlawn,African American,Male,Lane Violation,Illegal U-Turn,,Verbal Warning,No
